Errores calculados para cada waypoint:
       Lat        Lon        Alt    Error_m
-25.325506 -57.639097      77.06   0.001837
-25.325503 -57.639103      76.98   0.237281
-25.325494 -57.639282      76.98   0.290751
-25.325513 -57.639445      76.98   0.023129
-25.325574 -57.639424      76.98   0.764639
-25.325574 -57.639424      76.98   0.764639
-25.325558 -57.639431      77.98   0.043569
-25.325506 -57.639097      77.98   0.000349
-25.325506 -57.639097      77.68   0.000349
-25.325506 -57.639097      77.98   0.000349
-25.325506 -57.639097      73.98   0.000349
       NaN        NaN       0.00        NaN
       NaN        NaN       0.00        NaN
       NaN        NaN       0.00        NaN
       NaN        NaN       0.00        NaN
       NaN        NaN       0.00        NaN
       NaN        NaN       0.00        NaN
